promedio_tiempo_interacciones,papa,cursos_inscritos_periodo,num_cursos_plataforma,papa-1,delta_papa,modalidad_colegio,calendario,jornada,tipo_colegio,categoria_colegio,ciudad,Clase
183.6833333,3.6,3,1,3.3,0.3,2,0,4,1,2,9,B
190.9333333,3.6,3,3,3.6,0,0,0,0,0,0,1,B
298,3.7,1,1,3.6,0.1,0,0,0,0,0,1,B
37.87083333,4,7,2,4,0,2,0,2,1,2,24,E
199.7095238,4,5,1,4,0,0,0,2,0,0,1,E
218.9076923,3.9,3,1,3.9,0,0,2,2,0,0,20,B
203.4166667,4,2,1,3.9,0.1,0,2,2,0,0,20,E
188.536,3.4,4,1,3.4,0,2,0,0,1,2,33,B
217.4666667,3.4,3,1,3.4,0,2,0,0,1,2,33,B
122.7888889,3.2,6,1,3.2,0,2,0,2,1,2,1,B
215.7185185,3.7,4,1,3.6,0.1,2,0,2,1,2,1,B
279.1166667,3.6,7,1,3.6,0,2,0,2,1,2,1,B
193.0296296,3.6,7,1,3.4,0.2,2,0,2,1,2,1,B
178.2666667,3.6,5,1,3.4,0.2,2,0,2,1,2,1,B
10.30833333,4,3,1,4,0,3,0,5,0,5,1,E
236.2833333,3.6,3,1,3.6,0,0,2,0,0,0,1,B
183.6642857,3.9,6,2,3.8,0.1,2,0,4,1,2,1,B
102.5333333,4,5,1,3.8,0.2,2,0,2,1,2,1,E
154.9055556,4.1,7,2,4,0.1,2,0,2,1,2,1,E
238.95,3.7,6,2,3.6,0.1,2,0,2,1,2,1,B
201.1333333,2.9,6,1,2.9,0,2,0,2,1,2,11,R
176.57,4.1,1,1,4.1,0,0,0,2,0,0,1,E
2,3,3,1,3.1,-0.1,0,0,0,0,0,1,B
158.62,3.3,4,1,3.3,0,0,2,0,0,0,1,B
221.1533333,3.7,5,1,3.7,0,0,3,3,2,3,6,B
257.4777778,3.8,5,2,3.7,0.1,0,3,3,2,3,6,B
13.01666667,4.2,1,1,4.2,0,0,0,0,0,0,15,E
38.44933333,3.7,5,3,3.8,-0.1,2,0,2,1,2,1,B
24.15486111,3.7,6,5,3.8,-0.1,2,0,2,1,2,1,B
109.0507576,3.5,7,2,3.4,0.1,2,0,0,1,2,29,B
165.9375,3.5,7,4,3.4,0.1,2,0,0,1,2,29,B
100.1041667,3.7,0,2,3.7,0,0,0,2,0,0,1,B
98.715625,4.1,5,5,4,0.1,0,0,0,0,0,1,E
102.980303,3.6,6,1,3.6,0,2,0,2,1,6,34,B
145.3648148,3.3,3,3,3.2,0.1,2,0,4,1,2,1,B
154.275,3.4,6,1,3.2,0.2,2,0,4,1,2,1,B
1,3.2,6,1,3.4,-0.2,2,0,0,1,2,1,B
195.5875,3.2,4,2,3.4,-0.2,2,0,0,1,2,1,B
175.5333333,3.6,6,2,3.6,0,0,0,0,0,0,1,B
232.3333333,4.3,2,1,4.3,0,0,0,0,0,0,15,E
4,3.6,3,1,3.6,0,2,0,2,1,2,1,B
112.325,3.6,3,1,3.6,0,2,0,2,1,2,1,B
105.975,3.5,4,2,3.5,0,0,0,0,0,0,15,B
178.2125,3.8,5,1,3.7,0.1,2,0,0,1,2,9,B
